ngram,count,label,n
anxiety depression,27,AMBIGUOUS,2
example someone,26,AMBIGUOUS,2
health conditions,26,AMBIGUOUS,2
professional help,26,AMBIGUOUS,2
bipolar disorder,25,AMBIGUOUS,2
mental disorder,25,AMBIGUOUS,2
low self,25,AMBIGUOUS,2
ability function,25,AMBIGUOUS,2
elaborate following,25,AMBIGUOUS,2
individuals disorders,24,AMBIGUOUS,2
depression anxiety,24,AMBIGUOUS,2
serious mental,24,AMBIGUOUS,2
don't know,23,AMBIGUOUS,2
make informed,23,AMBIGUOUS,2
mental disorders,23,AMBIGUOUS,2
important consider,23,AMBIGUOUS,2
personality disorder,23,AMBIGUOUS,2
likely engage,22,AMBIGUOUS,2
affects person's,22,AMBIGUOUS,2
condition affects,22,AMBIGUOUS,2
often seen,22,AMBIGUOUS,2
make decisions,22,AMBIGUOUS,2
factors contribute,21,AMBIGUOUS,2
several reasons,21,AMBIGUOUS,2
democratic process,21,AMBIGUOUS,2
resources help,21,AMBIGUOUS,2
moral responsibility,21,AMBIGUOUS,2
daytime sleepiness,21,AMBIGUOUS,2
wrath god,21,AMBIGUOUS,2
towards others,20,AMBIGUOUS,2
help support,20,AMBIGUOUS,2
able control,20,AMBIGUOUS,2
engage risky,20,AMBIGUOUS,2
aggressive violent,20,AMBIGUOUS,2
right wrong,20,AMBIGUOUS,2
ability make,20,AMBIGUOUS,2
physical mental,20,AMBIGUOUS,2
impulsive behavior,19,AMBIGUOUS,2
however it's,19,AMBIGUOUS,2
social interactions,19,AMBIGUOUS,2
express themselves,19,AMBIGUOUS,2
social situations,19,AMBIGUOUS,2
determine whether,19,AMBIGUOUS,2
unable control,19,AMBIGUOUS,2
hard time,19,AMBIGUOUS,2
lead lack,19,AMBIGUOUS,2
sleep disorder,19,AMBIGUOUS,2
excessive daytime,19,AMBIGUOUS,2
religious beliefs,19,AMBIGUOUS,2
mental illnesses,18,AMBIGUOUS,2
seek help,18,AMBIGUOUS,2
first it's,18,AMBIGUOUS,2
factors including,18,AMBIGUOUS,2
individual able,18,AMBIGUOUS,2
affect ability,18,AMBIGUOUS,2
family members,18,AMBIGUOUS,2
affect person's,18,AMBIGUOUS,2
significant impact,18,AMBIGUOUS,2
support treatment,18,AMBIGUOUS,2
blame conditions,18,AMBIGUOUS,2
sinful elaborate,18,AMBIGUOUS,2
one possible,17,AMBIGUOUS,2
social isolation,17,AMBIGUOUS,2
important provide,17,AMBIGUOUS,2
risky behaviors,17,AMBIGUOUS,2
interact others,17,AMBIGUOUS,2
even though,17,AMBIGUOUS,2
physical psychological,17,AMBIGUOUS,2
understand mental,16,AMBIGUOUS,2
physical symptoms,16,AMBIGUOUS,2
able function,16,AMBIGUOUS,2
symptoms include,16,AMBIGUOUS,2
help manage,16,AMBIGUOUS,2
thoughts feelings,16,AMBIGUOUS,2
environmental factors,16,AMBIGUOUS,2
social skills,16,AMBIGUOUS,2
impact ability,16,AMBIGUOUS,2
individuals experience,16,AMBIGUOUS,2
make sure,16,AMBIGUOUS,2
characterized excessive,16,AMBIGUOUS,2
empathy understanding,16,AMBIGUOUS,2
one reason,16,AMBIGUOUS,2
therapy medication,16,AMBIGUOUS,2
underlying mental,16,AMBIGUOUS,2
emotional distress,16,AMBIGUOUS,2
others believe,15,AMBIGUOUS,2
seek professional,15,AMBIGUOUS,2
potential consequences,15,AMBIGUOUS,2
negative impact,15,AMBIGUOUS,2
others example,15,AMBIGUOUS,2
lead misunderstandings,15,AMBIGUOUS,2
em em,15,AMBIGUOUS,2
seen comical,15,AMBIGUOUS,2
condition requires,15,AMBIGUOUS,2
self control,15,AMBIGUOUS,2
identify problem,14,AMBIGUOUS,2
contribute development,14,AMBIGUOUS,2
out control,14,AMBIGUOUS,2
find difficult,14,AMBIGUOUS,2
participate democratic,14,AMBIGUOUS,2
others lead,14,AMBIGUOUS,2
important approach,14,AMBIGUOUS,2
please answer,14,AMBIGUOUS,2
make rational,14,AMBIGUOUS,2
rational decisions,14,AMBIGUOUS,2
fall asleep,14,AMBIGUOUS,2
consequences actions,14,AMBIGUOUS,2
year old,14,AMBIGUOUS,2
harm themselves,14,AMBIGUOUS,2
sexual activity,14,AMBIGUOUS,2
theme paragraph,14,AMBIGUOUS,2
paragraph sinful,14,AMBIGUOUS,2
blame condition,13,AMBIGUOUS,2
health well,13,AMBIGUOUS,2
need help,13,AMBIGUOUS,2
social norms,13,AMBIGUOUS,2
difficulty controlling,13,AMBIGUOUS,2
overall important,13,AMBIGUOUS,2
used describe,13,AMBIGUOUS,2
variety factors,13,AMBIGUOUS,2
believe god,13,AMBIGUOUS,2
ability perform,13,AMBIGUOUS,2
negatively impact,13,AMBIGUOUS,2
situations where,13,AMBIGUOUS,2
different ways,13,AMBIGUOUS,2
take care,13,AMBIGUOUS,2
neurological disorder,13,AMBIGUOUS,2
delusions hallucinations,13,AMBIGUOUS,2
social cues,13,AMBIGUOUS,2
stress anxiety,13,AMBIGUOUS,2
years old,13,AMBIGUOUS,2
psychological disorder,13,AMBIGUOUS,2
making difficult,12,AMBIGUOUS,2
make feel,12,AMBIGUOUS,2
feel though,12,AMBIGUOUS,2
health professional,12,AMBIGUOUS,2
definitive answer,12,AMBIGUOUS,2
self harm,12,AMBIGUOUS,2
characterized persistent,12,AMBIGUOUS,2
drug use,12,AMBIGUOUS,2
condition lead,12,AMBIGUOUS,2
ability understand,12,AMBIGUOUS,2
reading writing,12,AMBIGUOUS,2
medical conditions,12,AMBIGUOUS,2
additionally individuals,12,AMBIGUOUS,2
one way,12,AMBIGUOUS,2
control behavior,12,AMBIGUOUS,2
able make,12,AMBIGUOUS,2
learning disability,12,AMBIGUOUS,2
manage condition,12,AMBIGUOUS,2
staying awake,12,AMBIGUOUS,2
wake up,12,AMBIGUOUS,2
blood pressure,12,AMBIGUOUS,2
feelings guilt,12,AMBIGUOUS,2
guilt shame,12,AMBIGUOUS,2
lead negative,12,AMBIGUOUS,2
punished god,12,AMBIGUOUS,2
where individuals,12,AMBIGUOUS,2
withdrawal symptoms,12,AMBIGUOUS,2
possible reason,11,AMBIGUOUS,2
control actions,11,AMBIGUOUS,2
anxiety disorder,11,AMBIGUOUS,2
act out,11,AMBIGUOUS,2
fear anxiety,11,AMBIGUOUS,2
symptoms lead,11,AMBIGUOUS,2
further contribute,11,AMBIGUOUS,2
disorder affects,11,AMBIGUOUS,2
serious consequences,11,AMBIGUOUS,2
due fact,11,AMBIGUOUS,2
first step,11,AMBIGUOUS,2
mood disorder,11,AMBIGUOUS,2
difficulty concentrating,11,AMBIGUOUS,2
lead impulsive,11,AMBIGUOUS,2
feelings anger,11,AMBIGUOUS,2
understand condition,11,AMBIGUOUS,2
inherently dangerous,11,AMBIGUOUS,2
risk violence,11,AMBIGUOUS,2
support help,11,AMBIGUOUS,2
help individuals,11,AMBIGUOUS,2
appropriate support,11,AMBIGUOUS,2
sin strong,11,AMBIGUOUS,2
term used,11,AMBIGUOUS,2
ability communicate,11,AMBIGUOUS,2
important acknowledge,11,AMBIGUOUS,2
consider potential,11,AMBIGUOUS,2
anger aggression,11,AMBIGUOUS,2
lead frustration,11,AMBIGUOUS,2
unable communicate,11,AMBIGUOUS,2
day day,11,AMBIGUOUS,2
seem like,11,AMBIGUOUS,2
condition however,11,AMBIGUOUS,2
look like,11,AMBIGUOUS,2
disorder causes,11,AMBIGUOUS,2
seen sign,11,AMBIGUOUS,2
someone disorder,11,AMBIGUOUS,2
sleep deprivation,11,AMBIGUOUS,2
falling asleep,11,AMBIGUOUS,2
increased risk,11,AMBIGUOUS,2
serious health,11,AMBIGUOUS,2
one answer,11,AMBIGUOUS,2
allowed vote,11,AMBIGUOUS,2
weight gain,11,AMBIGUOUS,2
harm others,11,AMBIGUOUS,2
make seem,11,AMBIGUOUS,2
relationships others,11,AMBIGUOUS,2
difficult understand,11,AMBIGUOUS,2
facing wrath,11,AMBIGUOUS,2
physical emotional,11,AMBIGUOUS,2
healthy relationships,11,AMBIGUOUS,2
opposite sex,11,AMBIGUOUS,2
diagnostic statistical,11,AMBIGUOUS,2
statistical manual,11,AMBIGUOUS,2
words modify,11,AMBIGUOUS,2
body odor,11,AMBIGUOUS,2
lead violent,10,AMBIGUOUS,2
lead aggressive,10,AMBIGUOUS,2
compassion understanding,10,AMBIGUOUS,2
whether individual,10,AMBIGUOUS,2
suicidal thoughts,10,AMBIGUOUS,2
lead poor,10,AMBIGUOUS,2
work environment,10,AMBIGUOUS,2
daily activities,10,AMBIGUOUS,2
help reduce,10,AMBIGUOUS,2
seek medical,10,AMBIGUOUS,2
medical attention,10,AMBIGUOUS,2
less likely,10,AMBIGUOUS,2
causing harm,10,AMBIGUOUS,2
therefore important,10,AMBIGUOUS,2
lead problems,10,AMBIGUOUS,2
complete tasks,10,AMBIGUOUS,2
lack empathy,10,AMBIGUOUS,2
lead fulfilling,10,AMBIGUOUS,2
often difficulty,10,AMBIGUOUS,2
nervous system,10,AMBIGUOUS,2
responsible actions,10,AMBIGUOUS,2
disability affects,10,AMBIGUOUS,2
elaborate theme,10,AMBIGUOUS,2
morally responsible,10,AMBIGUOUS,2
one another,10,AMBIGUOUS,2
symptoms improve,10,AMBIGUOUS,2
excessive sleepiness,10,AMBIGUOUS,2
sleep apnea,10,AMBIGUOUS,2
take steps,10,AMBIGUOUS,2
high blood,10,AMBIGUOUS,2
united nations,10,AMBIGUOUS,2
don't understand,10,AMBIGUOUS,2
human beings,10,AMBIGUOUS,2
god punishing,10,AMBIGUOUS,2
engage behaviors,10,AMBIGUOUS,2
harmful behaviors,10,AMBIGUOUS,2
disorder disorder,10,AMBIGUOUS,2
please help,10,AMBIGUOUS,2
social status,10,AMBIGUOUS,2
united states,10,AMBIGUOUS,2
issue requires,10,AMBIGUOUS,2
manual mental,10,AMBIGUOUS,2
inherently violent,9,AMBIGUOUS,2
feel guilty,9,AMBIGUOUS,2
violent however,9,AMBIGUOUS,2
eating habits,9,AMBIGUOUS,2
controlling emotions,9,AMBIGUOUS,2
feel sense,9,AMBIGUOUS,2
shame guilt,9,AMBIGUOUS,2
behavior result,9,AMBIGUOUS,2
acting out,9,AMBIGUOUS,2
able communicate,9,AMBIGUOUS,2
one size,9,AMBIGUOUS,2
size fits,9,AMBIGUOUS,2
however possible,9,AMBIGUOUS,2
don't think,9,AMBIGUOUS,2
able understand,9,AMBIGUOUS,2
things like,9,AMBIGUOUS,2
important seek,9,AMBIGUOUS,2
others around,9,AMBIGUOUS,2
symptoms symptoms,9,AMBIGUOUS,2
behavior important,9,AMBIGUOUS,2
behavior however,9,AMBIGUOUS,2
mental state,9,AMBIGUOUS,2
caused variety,9,AMBIGUOUS,2
behavior lead,9,AMBIGUOUS,2
others make,9,AMBIGUOUS,2
others important,9,AMBIGUOUS,2
areas life,9,AMBIGUOUS,2
provide appropriate,9,AMBIGUOUS,2
support claim,9,AMBIGUOUS,2
strong sin,9,AMBIGUOUS,2
lead confusion,9,AMBIGUOUS,2
become aggressive,9,AMBIGUOUS,2
different types,9,AMBIGUOUS,2
vary depending,9,AMBIGUOUS,2
impulse control,9,AMBIGUOUS,2
experience symptoms,9,AMBIGUOUS,2
now coming,9,AMBIGUOUS,2
stigma discrimination,9,AMBIGUOUS,2
support accommodations,9,AMBIGUOUS,2
various factors,9,AMBIGUOUS,2
another reason,9,AMBIGUOUS,2
neurological condition,9,AMBIGUOUS,2
make sense,9,AMBIGUOUS,2
support individuals,9,AMBIGUOUS,2
long time,9,AMBIGUOUS,2
cognitive impairment,9,AMBIGUOUS,2
lead serious,9,AMBIGUOUS,2
daily lives,9,AMBIGUOUS,2
lifestyle changes,9,AMBIGUOUS,2
resources support,9,AMBIGUOUS,2
period time,9,AMBIGUOUS,2
disorder often,9,AMBIGUOUS,2
dsm iv,9,AMBIGUOUS,2
complex multifaceted,9,AMBIGUOUS,2
help need,9,AMBIGUOUS,2
american psychiatric,9,AMBIGUOUS,2
moral development,9,AMBIGUOUS,2
behavior seen,9,AMBIGUOUS,2
function daily,9,AMBIGUOUS,2
treatment options,9,AMBIGUOUS,2
under influence,9,AMBIGUOUS,2
dangerous crazy,9,AMBIGUOUS,2
coping mechanism,9,AMBIGUOUS,2
use humor,9,AMBIGUOUS,2
violent behaviour,9,AMBIGUOUS,2
affect people's,9,AMBIGUOUS,2
engage violent,9,AMBIGUOUS,2
lack self,9,AMBIGUOUS,2
considered morally,9,AMBIGUOUS,2
eating disorder,9,AMBIGUOUS,2
allowing live,9,AMBIGUOUS,2
hair pulling,9,AMBIGUOUS,2
pull out,9,AMBIGUOUS,2
safety well,9,AMBIGUOUS,2
diagnosis treatment,9,AMBIGUOUS,2
identify words,9,AMBIGUOUS,2
genetic engineering,9,AMBIGUOUS,2
sentence add,9,AMBIGUOUS,2
feelings shame,8,AMBIGUOUS,2
disorder experience,8,AMBIGUOUS,2
complex often,8,AMBIGUOUS,2
intense fear,8,AMBIGUOUS,2
control lives,8,AMBIGUOUS,2
find out,8,AMBIGUOUS,2
certain situations,8,AMBIGUOUS,2
function job,8,AMBIGUOUS,2
something wrong,8,AMBIGUOUS,2
dangerous themselves,8,AMBIGUOUS,2
increase risk,8,AMBIGUOUS,2
reduce risk,8,AMBIGUOUS,2
loved ones,8,AMBIGUOUS,2
ability control,8,AMBIGUOUS,2
living neighborhood,8,AMBIGUOUS,2
misunderstandings conflicts,8,AMBIGUOUS,2
everyday life,8,AMBIGUOUS,2
capable making,8,AMBIGUOUS,2
punishment god,8,AMBIGUOUS,2
https www,8,AMBIGUOUS,2
perform job,8,AMBIGUOUS,2
ultimately up,8,AMBIGUOUS,2
http www,8,AMBIGUOUS,2
difficulty expressing,8,AMBIGUOUS,2
fully understand,8,AMBIGUOUS,2
problem solving,8,AMBIGUOUS,2
unique challenges,8,AMBIGUOUS,2
feelings frustration,8,AMBIGUOUS,2
frustration anger,8,AMBIGUOUS,2
psychological factors,8,AMBIGUOUS,2
understand neurological,8,AMBIGUOUS,2
symptoms make,8,AMBIGUOUS,2
further exacerbate,8,AMBIGUOUS,2
considered sin,8,AMBIGUOUS,2
one hand,8,AMBIGUOUS,2
periods time,8,AMBIGUOUS,2
read write,8,AMBIGUOUS,2
world around,8,AMBIGUOUS,2
strong ii,8,AMBIGUOUS,2
ii strong,8,AMBIGUOUS,2
reduce stigma,8,AMBIGUOUS,2
emotional instability,8,AMBIGUOUS,2
treatment plan,8,AMBIGUOUS,2
seen form,8,AMBIGUOUS,2
unpredictable however,8,AMBIGUOUS,2
schizophrenia bipolar,8,AMBIGUOUS,2
least one,8,AMBIGUOUS,2
work school,8,AMBIGUOUS,2
support understanding,8,AMBIGUOUS,2
up individual,8,AMBIGUOUS,2
job performance,8,AMBIGUOUS,2
difficult maintain,8,AMBIGUOUS,2
god god,8,AMBIGUOUS,2
lack understanding,8,AMBIGUOUS,2
agree disagree,8,AMBIGUOUS,2
physical health,8,AMBIGUOUS,2
jesus christ,8,AMBIGUOUS,2
thoughts behaviors,8,AMBIGUOUS,2
seek treatment,8,AMBIGUOUS,2
emotional psychological,8,AMBIGUOUS,2
sexual intercourse,8,AMBIGUOUS,2
seen sinful,8,AMBIGUOUS,2
degree cule,8,AMBIGUOUS,2
sexual orientation,8,AMBIGUOUS,2
experience extreme,8,AMBIGUOUS,2
cognitive empathy,8,AMBIGUOUS,2
white man,8,AMBIGUOUS,2
public places,7,AMBIGUOUS,2
behavior towards,7,AMBIGUOUS,2
actions lead,7,AMBIGUOUS,2
potentially dangerous,7,AMBIGUOUS,2
go out,7,AMBIGUOUS,2
characterized recurrent,7,AMBIGUOUS,2
including genetics,7,AMBIGUOUS,2
play role,7,AMBIGUOUS,2
anxiety fear,7,AMBIGUOUS,2
loss self,7,AMBIGUOUS,2
lead loss,7,AMBIGUOUS,2
still capable,7,AMBIGUOUS,2
family friends,7,AMBIGUOUS,2
often feel,7,AMBIGUOUS,2
consequences including,7,AMBIGUOUS,2
possible reasons,7,AMBIGUOUS,2
it's like,7,AMBIGUOUS,2
following questions,7,AMBIGUOUS,2
best way,7,AMBIGUOUS,2
job individual,7,AMBIGUOUS,2
low mood,7,AMBIGUOUS,2
symptoms causes,7,AMBIGUOUS,2
elevated mood,7,AMBIGUOUS,2
severe symptoms,7,AMBIGUOUS,2
illness characterized,7,AMBIGUOUS,2
extreme mood,7,AMBIGUOUS,2
experience intense,7,AMBIGUOUS,2
situations lead,7,AMBIGUOUS,2
appropriate treatment,7,AMBIGUOUS,2
get violent,7,AMBIGUOUS,2
done help,7,AMBIGUOUS,2
sinful behavior,7,AMBIGUOUS,2
inability control,7,AMBIGUOUS,2
often struggle,7,AMBIGUOUS,2
neighborhood relationship,7,AMBIGUOUS,2
help prevent,7,AMBIGUOUS,2
exhibit behaviors,7,AMBIGUOUS,2
behavior perceived,7,AMBIGUOUS,2
moral character,7,AMBIGUOUS,2
moral deficiencies,7,AMBIGUOUS,2
ethical decisions,7,AMBIGUOUS,2
moral concepts,7,AMBIGUOUS,2
difficult communicate,7,AMBIGUOUS,2
trouble understanding,7,AMBIGUOUS,2
social life,7,AMBIGUOUS,2
point view,7,AMBIGUOUS,2
experience feelings,7,AMBIGUOUS,2
outbursts anger,7,AMBIGUOUS,2
contribute feelings,7,AMBIGUOUS,2
disorder affect,7,AMBIGUOUS,2
thoughts actions,7,AMBIGUOUS,2
disorder caused,7,AMBIGUOUS,2
considered sinful,7,AMBIGUOUS,2
difficulty communicating,7,AMBIGUOUS,2
where unable,7,AMBIGUOUS,2
disorder lead,7,AMBIGUOUS,2
memory loss,7,AMBIGUOUS,2
self awareness,7,AMBIGUOUS,2
extreme cases,7,AMBIGUOUS,2
productive lives,7,AMBIGUOUS,2
lack social,7,AMBIGUOUS,2
use information,7,AMBIGUOUS,2
difficult control,7,AMBIGUOUS,2
due lack,7,AMBIGUOUS,2
coming question,7,AMBIGUOUS,2
experience difficulty,7,AMBIGUOUS,2
make challenging,7,AMBIGUOUS,2
essential provide,7,AMBIGUOUS,2
supportive inclusive,7,AMBIGUOUS,2
communication difficulties,7,AMBIGUOUS,2
lead variety,7,AMBIGUOUS,2
further impact,7,AMBIGUOUS,2
learn manage,7,AMBIGUOUS,2
individual's ability,7,AMBIGUOUS,2
solve problem,7,AMBIGUOUS,2
figure out,7,AMBIGUOUS,2
dear dear,7,AMBIGUOUS,2
understanding social,7,AMBIGUOUS,2
give up,7,AMBIGUOUS,2
one day,7,AMBIGUOUS,2
need know,7,AMBIGUOUS,2
common symptoms,7,AMBIGUOUS,2
poor decisions,7,AMBIGUOUS,2
external factors,7,AMBIGUOUS,2
waking up,7,AMBIGUOUS,2
underlying medical,7,AMBIGUOUS,2
difficulty staying,7,AMBIGUOUS,2
social activities,7,AMBIGUOUS,2
serious medical,7,AMBIGUOUS,2
medical help,7,AMBIGUOUS,2
sleep wake,7,AMBIGUOUS,2
stay awake,7,AMBIGUOUS,2
risk themselves,7,AMBIGUOUS,2
engaging risky,7,AMBIGUOUS,2
potential risks,7,AMBIGUOUS,2
necessarily mean,7,AMBIGUOUS,2
participate activities,7,AMBIGUOUS,2
lack control,7,AMBIGUOUS,2
others however,7,AMBIGUOUS,2
heart disease,7,AMBIGUOUS,2
seen violation,7,AMBIGUOUS,2
exacerbate symptoms,7,AMBIGUOUS,2
interfere daily,7,AMBIGUOUS,2
behavioral therapy,7,AMBIGUOUS,2
right support,7,AMBIGUOUS,2
underlying issues,7,AMBIGUOUS,2
religious traditions,7,AMBIGUOUS,2
likely develop,7,AMBIGUOUS,2
psychiatric association,7,AMBIGUOUS,2
difficulty maintaining,7,AMBIGUOUS,2
often engage,7,AMBIGUOUS,2
improve quality,7,AMBIGUOUS,2
self destructive,7,AMBIGUOUS,2
i'm sure,7,AMBIGUOUS,2
can't defeated,7,AMBIGUOUS,2
human rights,7,AMBIGUOUS,2
help overcome,7,AMBIGUOUS,2
cause problems,7,AMBIGUOUS,2
make choices,7,AMBIGUOUS,2
behaviors considered,7,AMBIGUOUS,2
fully participate,7,AMBIGUOUS,2
political process,7,AMBIGUOUS,2
doesn't mean,7,AMBIGUOUS,2
dangerous however,7,AMBIGUOUS,2
find themselves,7,AMBIGUOUS,2
case study,7,AMBIGUOUS,2
seek out,7,AMBIGUOUS,2
weight loss,7,AMBIGUOUS,2
often associated,7,AMBIGUOUS,2
get help,7,AMBIGUOUS,2
risky behavior,7,AMBIGUOUS,2
impair ability,7,AMBIGUOUS,2
use lead,7,AMBIGUOUS,2
responsibility actions,7,AMBIGUOUS,2
blood vessels,7,AMBIGUOUS,2
lead financial,7,AMBIGUOUS,2
complex issue,7,AMBIGUOUS,2
physical abuse,7,AMBIGUOUS,2
real medical,7,AMBIGUOUS,2
problems like,7,AMBIGUOUS,2
get better,7,AMBIGUOUS,2
cule degree,7,AMBIGUOUS,2
age group,7,AMBIGUOUS,2
serious illness,7,AMBIGUOUS,2
mentally ill,7,AMBIGUOUS,2
code code,7,AMBIGUOUS,2
strong desire,7,AMBIGUOUS,2
health disorder,7,AMBIGUOUS,2
cannot control,7,AMBIGUOUS,2
high risk,7,AMBIGUOUS,2
cultural orientation,7,AMBIGUOUS,2
emotional cognitive,7,AMBIGUOUS,2
information add,7,AMBIGUOUS,2
dream chan,7,AMBIGUOUS,2
nes affect,7,AMBIGUOUS,2
avoid situations,6,AMBIGUOUS,2
behavior additionally,6,AMBIGUOUS,2
trauma abuse,6,AMBIGUOUS,2
contribute violent,6,AMBIGUOUS,2
lash out,6,AMBIGUOUS,2
proper treatment,6,AMBIGUOUS,2
need take,6,AMBIGUOUS,2
emotional trauma,6,AMBIGUOUS,2
loved one,6,AMBIGUOUS,2
know it's,6,AMBIGUOUS,2
concern others,6,AMBIGUOUS,2
scientific evidence,6,AMBIGUOUS,2
likely violent,6,AMBIGUOUS,2
chest pain,6,AMBIGUOUS,2
seeking help,6,AMBIGUOUS,2
characterized sudden,6,AMBIGUOUS,2
work performance,6,AMBIGUOUS,2
overall quality,6,AMBIGUOUS,2
note individuals,6,AMBIGUOUS,2
order get,6,AMBIGUOUS,2
control one's,6,AMBIGUOUS,2
others think,6,AMBIGUOUS,2
find solution,6,AMBIGUOUS,2
advantages disadvantages,6,AMBIGUOUS,2
job determine,6,AMBIGUOUS,2
lack support,6,AMBIGUOUS,2
carry out,6,AMBIGUOUS,2
major depressive,6,AMBIGUOUS,2
don't want,6,AMBIGUOUS,2
psychiatric disorder,6,AMBIGUOUS,2
childhood trauma,6,AMBIGUOUS,2
increase likelihood,6,AMBIGUOUS,2
someone know,6,AMBIGUOUS,2
lead difficulties,6,AMBIGUOUS,2
condition experience,6,AMBIGUOUS,2
actions overall,6,AMBIGUOUS,2
lead outbursts,6,AMBIGUOUS,2
link violence,6,AMBIGUOUS,2
likely experience,6,AMBIGUOUS,2
engage behavior,6,AMBIGUOUS,2
lead dangerous,6,AMBIGUOUS,2
potential impact,6,AMBIGUOUS,2
relationship forbidden,6,AMBIGUOUS,2
process information,6,AMBIGUOUS,2
resources need,6,AMBIGUOUS,2
often misunderstood,6,AMBIGUOUS,2
communicate needs,6,AMBIGUOUS,2
risks associated,6,AMBIGUOUS,2
providing support,6,AMBIGUOUS,2
live independently,6,AMBIGUOUS,2
emotional issues,6,AMBIGUOUS,2
cause harm,6,AMBIGUOUS,2
additionally difficulty,6,AMBIGUOUS,2
lack moral,6,AMBIGUOUS,2
moral judgment,6,AMBIGUOUS,2
act ways,6,AMBIGUOUS,2
moral principles,6,AMBIGUOUS,2
certain level,6,AMBIGUOUS,2
care support,6,AMBIGUOUS,2
lead self,6,AMBIGUOUS,2
sin however,6,AMBIGUOUS,2
job duties,6,AMBIGUOUS,2
want take,6,AMBIGUOUS,2
social interaction,6,AMBIGUOUS,2
able work,6,AMBIGUOUS,2
note violent,6,AMBIGUOUS,2
however cases,6,AMBIGUOUS,2
challenges face,6,AMBIGUOUS,2
difficult get,6,AMBIGUOUS,2
reasonable accommodations,6,AMBIGUOUS,2
one's actions,6,AMBIGUOUS,2
limbic system,6,AMBIGUOUS,2
make dangerous,6,AMBIGUOUS,2
others understand,6,AMBIGUOUS,2
fits answer,6,AMBIGUOUS,2
higher power,6,AMBIGUOUS,2
anger resentment,6,AMBIGUOUS,2
need provide,6,AMBIGUOUS,2
lead sense,6,AMBIGUOUS,2
find hard,6,AMBIGUOUS,2
others due,6,AMBIGUOUS,2
problems including,6,AMBIGUOUS,2
tics tics,6,AMBIGUOUS,2
co workers,6,AMBIGUOUS,2
affect parenting,6,AMBIGUOUS,2
one main,6,AMBIGUOUS,2
feel isolated,6,AMBIGUOUS,2
mental physical,6,AMBIGUOUS,2
parents children,6,AMBIGUOUS,2
find humor,6,AMBIGUOUS,2
condition caused,6,AMBIGUOUS,2
movements sounds,6,AMBIGUOUS,2
often experience,6,AMBIGUOUS,2
parent child,6,AMBIGUOUS,2
give reasons,6,AMBIGUOUS,2
help make,6,AMBIGUOUS,2
seen way,6,AMBIGUOUS,2
young age,6,AMBIGUOUS,2
one potential,6,AMBIGUOUS,2
important aware,6,AMBIGUOUS,2
result lack,6,AMBIGUOUS,2
often lead,6,AMBIGUOUS,2
understand sleep,6,AMBIGUOUS,2
able manage,6,AMBIGUOUS,2
work towards,6,AMBIGUOUS,2
poor decision,6,AMBIGUOUS,2
make poor,6,AMBIGUOUS,2
sleep disorders,6,AMBIGUOUS,2
side effects,6,AMBIGUOUS,2
